Duplication	Prot-emptyme	Plate_1536	Col_1536	Row_1536	numbloc
WGD	YLR270W	4	22	21	136
WGD	YOR173W	4	22	22	136
WGD	YDL181W	4	22	23	137
WGD	YDL130W-A	4	22	24	137
WGD	YDR358W	4	22	25	138
WGD	YHR108W	4	22	26	138
WGD	YBL039C	4	22	27	139
WGD	YJR103W	4	22	28	139
SSD	YCR105W	4	22	29	140
SSD	YMR318C	4	22	30	140
empty	empty	4	22	31	NA
empty	empty	4	22	32	NA
empty	empty	4	23	1	NA
empty	empty	4	23	2	NA
WGD	YOR204W	4	23	3	141
WGD	YPL119C	4	23	4	141
SSD	YEL007W	4	23	5	142
SSD	YHR177W	4	23	6	142
WGD	YDR490C	4	23	7	143
WGD	YOL100W	4	23	8	143
SSD	YGL258W	4	23	9	144
SSD	YOR387C	4	23	10	144
WGD	YDL022W	4	23	11	145
WGD	YOL059W	4	23	12	145
SSD	YAR071W	4	23	13	146
SSD	YHR215W	4	23	14	146
SSD	YGL255W	4	23	15	147
SSD	YLR130C	4	23	16	147
WGD	YNL104C	4	23	17	148
WGD	YOR108W	4	23	18	148
SSD	YAR071W	4	23	19	149
SSD	YHR215W	4	23	20	149
SSD	YDR461W	4	23	21	150
SSD	YNL145W	4	23	22	150
WGD	YLR450W	4	23	23	151
WGD	YML075C	4	23	24	151
SSD	YNL018C	4	23	25	152
SSD	YNL034W	4	23	26	152
SSD	YIL169C	4	23	27	153
SSD	YOL155C	4	23	28	153
WGD	YOR016C	4	23	29	154
WGD	YAL007C	4	23	30	154
empty	empty	4	23	31	NA
empty	empty	4	23	32	NA
empty	empty	4	24	1	NA
empty	empty	4	24	2	NA
WGD	YOR204W	4	24	3	141
WGD	YPL119C	4	24	4	141
SSD	YEL007W	4	24	5	142
SSD	YHR177W	4	24	6	142
WGD	YDR490C	4	24	7	143
WGD	YOL100W	4	24	8	143
SSD	YGL258W	4	24	9	144
SSD	YOR387C	4	24	10	144
WGD	YDL022W	4	24	11	145
WGD	YOL059W	4	24	12	145
SSD	YAR071W	4	24	13	146
SSD	YHR215W	4	24	14	146
SSD	YGL255W	4	24	15	147
SSD	YLR130C	4	24	16	147
WGD	YNL104C	4	24	17	148
WGD	YOR108W	4	24	18	148
SSD	YAR071W	4	24	19	149
SSD	YHR215W	4	24	20	149
SSD	YDR461W	4	24	21	150
SSD	YNL145W	4	24	22	150
WGD	YLR450W	4	24	23	151
WGD	YML075C	4	24	24	151
SSD	YNL018C	4	24	25	152
SSD	YNL034W	4	24	26	152
SSD	YIL169C	4	24	27	153
SSD	YOL155C	4	24	28	153
WGD	YOR016C	4	24	29	154
WGD	YAL007C	4	24	30	154
empty	empty	4	24	31	NA
empty	empty	4	24	32	NA
empty	empty	4	25	1	NA
empty	empty	4	25	2	NA
WGD	YDR385W	4	25	3	155
WGD	YOR133W	4	25	4	155
SSD	YKL188C	4	25	5	156
SSD	YPL147W	4	25	6	156
SSD	YCR106W	4	25	7	157
SSD	YLL054C	4	25	8	157
SSD	YOR390W	4	25	9	158
SSD	YPL279C	4	25	10	158
WGD	YGR004W	4	25	11	159
WGD	YLR324W	4	25	12	159
WGD	YLR450W	4	25	13	160
WGD	YML075C	4	25	14	160
WGD	YLR270W	4	25	15	161
WGD	YOR173W	4	25	16	161
SSD	YDR391C	4	25	17	162
SSD	YOR012W	4	25	18	162
WGD	YBL039C	4	25	19	163
WGD	YJR103W	4	25	20	163
WGD	YDR358W	4	25	21	164
WGD	YHR108W	4	25	22	164
SSD	YFL011W	4	25	23	165
SSD	YMR011W	4	25	24	165
