Number	Gene	ORF	Known homomer	References
242	RIX7	YLL034C	_	Tarassov K, et al. (2008)
243	RLI1	YDR091C	_	Krogan NJ, et al. (2004)
244	RNA1	YMR235C		
245	RNR1	YER070W	_	Zhao X, et al. (1998)
246	RNR3	YIL066C	_	Domkin V, et al. (2002)
247	RNR4	YGR180C	_	Ge J, et al. (2001)
248	RPA43	YOR340C		
249	RPB8	YOR224C		
250	RPC19	YNL113W		
251	RPC40	YPR110C	_	Krogan NJ, et al. (2004)
252	RPC53	YDL150W		
253	RPF2	YKR081C	_	Sahasranaman A, et al. (2011)
254	RPG1 	YBR079C		
255	RPL11A	YPR102C		
256	RPL12B	YDR418W		
257	RPL13A	YDL082W		
258	RPL13B	YMR142C		
259	RPL14B	YHL001W		
260	RPL18B	YNL301C		
261	RPL1B	YGL135W		
262	RPL20A	YMR242C		
263	RPL21B	YPL079W		
264	RPL22A	YLR061W		
265	RPL24A	YGL031C		
266	RPL26B	YGR034W		
267	RPL2A	YFR031C-A		
268	RPL31B	YLR406C		
269	RPL36B	YPL249C-A		
270	RPL37A	YLR185W		
271	RPL43A	YPR043W		
272	RPL6B	YLR448W		
273	RPL7B	YPL198W		
274	RPL8B	YLL045C		
275	RPL9A	YGL147C		
276	RPL9B	YNL067W		
277	RPP1B	YDL130W	_	Qiu D, et al. (2006)
278	RPP2A	YOL039W	_	Qiu D, et al. (2006)
279	RPP2B	YDR382W	_	Qiu D, et al. (2006)
280	RPS10B	YMR230W		
281	RPS17A	YML024W		
282	RPS17B	YDR447C		
283	RPS1A	YLR441C		
284	RPS1B	YML063W		
285	RPS22A	YJL190C		
286	RPS22B	YLR367W		
287	RPS25B	YLR333C		
288	RPS27A	YKL156W		
289	RPS28A	YOR167C		
290	RPS28B	YLR264W		
291	RPS3	YNL178W		
292	RPS30B	YOR182C		
293	RPS4B	YHR203C		
294	RPS6A	YPL090C		
295	RPS7B	YNL096C		
296	RPS9A	YPL081W		
297	RRP1	YDR087C	_	Horsey EW, et al. (2004)
298	RRP5	YMR229C	_	Krogan NJ, et al. (2004)
299	RSE1	YML049C		
300	RSM24	YDR175C		
301	RSM27	YGR215W		
302	RTC3	YHR087W		
303	RTC6	YPL183W-A		
304	RVB1	YDR190C		
305	SAC6	YDR129C		
306	SAM1	YLR180W	_	Yu H, et al. (2008)
307	SAM2	YDR502C	_	Yu H, et al. (2008) 
308	SAM50	YNL026W		
309	SCS22	YBL091C-A		
310	SEC21	YNL287W		
311	SEC27	YGL137W		
312	SEC5	YDR166C	_	TerBush DR, et al. (1996)
313	SEC6	YIL068C	_	Toikkanen JH, et al. (2003)
314	SEC63	YOR254C	_	Willer M, et al. (2003)
315	SEC7	YDR170C	_	Marino-Ramirez L and Hu JC (2002)
316	SEC72	YLR292C	_	Miller JP, et al. (2005)
317	SED1	YDR077W		
318	SFC1	YJR095W		
319	SHE3	YBR130C	_	Tarassov K, et al. (2008)
320	SHM1	YBR263W		
321	SHS1	YDL225W	_	Tarassov K, et al. (2008)
322	SIS1	YNL007C	_	Sha B, et al. (2000)
323	SKG6	YHR149C		
324	SLA1	YBL007C	_	Di Pietro SM, et al. (2010)
325	SLK19	YOR195W	_	Newman JR, et al. (2000)
326	SMC4	YLR086W		
327	SMI1	YGR229C		
328	SNA3	YJL151C	_	Tarassov K, et al. (2008)
329	SNA4	YDL123W		
330	SND1	YDR186C		
331	SNF5	YBR289W	_	Alberti S, et al. (2009)
332	SOD1	YJR104C	_	Djinovic K, et al. (1991)
333	SOF1	YLL011W		
334	SPC105	YGL093W	_	Wang Y, et al. (2012
335	SPC97	YHR172W		
336	SPP41	YDR464W		
337	SPT16	YGL207W	_	Krogan NJ, et al. (2004)
338	SPT4	YGR063C		
339	SPT5	YML010W		
340	SRM1	YGL097W		
341	SRO9	YCL037C		
342	SSB1	YDL229W		
343	SSB2	YNL209W	_	Willmund F, et al. (2013)
344	SSF1	YHR066W	_	Fatica A, et al. (2002)
345	STF2	YGR008C		
346	STI1	YOR027W	_	Tarassov K, et al. (2008)
347	STM1	YLR150W		
348	STO1	YMR125W	_	Krogan NJ, et al. (2004)
349	STU2	YLR045C	_	Chen XP, et al. (1998)
350	SUL1	YBR294W		
351	SUL2	YLR092W		
352	SUP35	YDR172W	_	Krogan NJ, et al. (2004)
353	SUR7	YML052W		
354	SWI6	YLR182W		
355	SYP1	YCR030C	_	Tarassov K, et al. (2008)
356	TAL1	YLR354C		
357	TCD2	YKL027W		
358	TDH1	YJL052W		
359	TDH2	YJR009C		
360	TDH3	YGR192C	_	Huang KY, et al. (2009)
361	TEF4	YKL081W		
362	TEL1	YBL088C		
363	TGL1	YKL140W	_	Tarassov K, et al. (2008)
364	THR4	YCR053W		
365	THS1	YIL078W	_	Krogan NJ, et al. (2004)
366	TIF3	YPR163C		
367	TIF4631	YGR162W	_	Krogan NJ, et al. (2004)
368	TIF5	YPR041W		
369	TIM50	YPL063W	_	Geissler A, et al. (2002)
370	TKL1	YPR074C	_	Selivanov VA, et al. (2004)
371	TMA19	YKL056C		
372	TOF1	YNL273W		
373	TPA1	YER049W	_	Krogan NJ, et al. (2004)
374	TPS1	YBR126C	_	Reinders A, et al. (1997)
375	TPS2	YDR074W	_	Reinders A, et al. (1997)
376	TRP2	YER090W		
377	TSC11	YER093C	_	Babu M, et al. (2012)
378	TUF1	YOR187W		
379	TUP1	YCR084C	_	Jabet C, et al. (2000)
380	TYW1	YPL207W		
381	UBA1	YKL210W	_	Sommer T and Jentsch S (1993)
382	UBX7	YBR273C	_	Decottignies A, et al. (2004)
383	UGP1	YKL035W	_	Marino-Ramirez L and Hu JC (2002)
384	URA1	YKL216W		
385	URA2	YJL130C		
386	URB1	YKL014C	_	Krogan NJ, et al. (2004)
387	URB2	YJR041C		
388	UTP10	YJL109C	_	Krogan NJ, et al. (2004)
389	UTP13	YLR222C	_	Krogan NJ, et al. (2004)
390	UTP15	YMR093W		
391	UTP18	YJL069C	_	Grandi P, et al. (2002)
392	UTP9	YHR196W	_	Grandi P, et al. (2002)
393	VIK1	YPL253C		
394	VMA1	YDL185W		
395	VMA13	YPR036W	_	Tarassov K, et al. (2008)
396	VPH1	YOR270C	_	Diepholz M, et al. (2008)
397	VPS4	YPR173C	_	Scott A, et al. (2005)
398	WRS1	YOL097C		
399	YBR085C-A	YBR085C-A		
400	YDL009C	YDL009C		
401	YDL163W	YDL163W		
402	YDR102C	YDR102C		
403	YDR210W	YDR210W		
404	YDR269C	YDR269C		
405	YDR290W	YDR290W		
406	YDR340W	YDR340W		
407	YDR355C	YDR355C		
